Subgrupo,Mes,Unidades Compradas,Unidades Vendidas
121,2023-10-01,4.0,17.0
121,2023-11-01,0.0,14.0
121,2023-12-01,0.0,24.0
121,2024-01-01,0.0,3.0
121,2024-02-01,0.0,12.0
121,2024-03-01,0.0,8.0
121,2024-04-01,0.0,11.0
121,2024-05-01,0.0,8.0
121,2024-06-01,0.0,6.0
121,2024-07-01,0.0,12.0
121,2024-08-01,0.0,3.0
121,2024-09-01,0.0,8.0
121,2024-10-01,0.0,14.0
15,2023-09-01,0.0,63.0
15,2023-10-01,20.0,248.0
15,2023-11-01,0.0,494.0
15,2023-12-01,0.0,530.0
15,2024-01-01,96.0,254.0
15,2024-02-01,0.0,397.0
15,2024-03-01,0.0,292.0
15,2024-04-01,24.0,205.0
15,2024-05-01,0.0,220.0
15,2024-06-01,0.0,177.0
15,2024-07-01,177.0,137.0
15,2024-08-01,0.0,72.0
15,2024-09-01,0.0,195.0
15,2024-10-01,0.0,141.0
2,2023-09-01,0.0,75.0
2,2023-10-01,66.0,133.0
2,2023-11-01,0.0,250.0
2,2023-12-01,0.0,285.0
2,2024-01-01,26.0,252.0
2,2024-02-01,0.0,217.0
2,2024-03-01,0.0,134.0
2,2024-04-01,22.0,133.0
2,2024-05-01,0.0,142.0
2,2024-06-01,0.0,74.0
2,2024-07-01,69.0,67.0
2,2024-08-01,0.0,57.0
2,2024-09-01,0.0,109.0
2,2024-10-01,0.0,76.0
273,2023-09-01,0.0,1.0
273,2023-10-01,0.25,10.0
273,2023-11-01,0.0,6.0
273,2023-12-01,0.0,2.0
273,2024-01-01,0.0,4.0
546,2023-10-01,0.0,4.0
546,2023-11-01,0.0,14.0
546,2023-12-01,0.0,20.0
546,2024-01-01,0.0,8.0
546,2024-02-01,0.0,5.0
546,2024-03-01,0.0,6.0
546,2024-04-01,0.0,4.0
546,2024-05-01,0.0,5.0
546,2024-06-01,0.0,1.0
546,2024-07-01,9.0,2.0
546,2024-08-01,0.0,1.0
546,2024-09-01,0.0,3.0
546,2024-10-01,0.0,1.0
